Agent,Outcome1,Outcome2,Action,Incentive,Pivotality,Subject,Context,RoundNum
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,29,Business,9
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,29,Business,10
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,29,Business,11
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,29,Football,12
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,29,Football,13
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,29,Football,14
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,29,Business,15
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,29,Business,16
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,29,Football,17
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,29,Football,18
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,29,Business,19
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,29,Business,20
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,29,Football,21
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,29,Business,22
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,29,Football,23
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,29,Football,24
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,29,Business,25
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,29,Football,26
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,29,Football,27
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,29,Football,28
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,29,Business,29
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,29,Business,30
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,29,Football,31
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,29,Business,32
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,30,Business,1
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,30,Football,2
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,30,Football,3
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,30,Business,4
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,30,Business,5
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,30,Business,6
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,30,Football,7
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,30,Football,8
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,30,Football,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,30,Football,10
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,30,Business,11
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,30,Business,12
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,30,Business,13
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,30,Football,14
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,30,Football,15
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,30,Business,16
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,30,Football,17
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,30,Business,18
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,30,Football,19
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,30,Football,20
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,30,Football,21
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,30,Business,22
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,30,Business,23
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,30,Football,24
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,30,Business,25
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,30,Business,26
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,30,Business,27
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,30,Business,28
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,30,Football,29
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,30,Football,30
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,30,Business,31
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,30,Football,32
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,31,Football,1
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,31,Business,2
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,31,Football,3
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,31,Football,4
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,31,Business,5
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,31,Business,6
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,31,Business,7
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,31,Business,8
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,31,Business,9
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,31,Football,10
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,31,Business,11
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,31,Football,12
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,31,Football,13
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,31,Football,14
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,31,Business,15
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,31,Football,16
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,31,Football,17
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,31,Business,18
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,31,Business,19
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,31,Football,20
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,31,Business,21
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,31,Football,22
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,31,Business,23
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,31,Business,24
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,31,Business,25
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,31,Football,26
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,31,Business,27
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,31,Business,28
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,31,Football,29
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,31,Football,30
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,31,Football,31
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,31,Football,32
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,32,Business,1
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,32,Business,2
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,32,Football,3
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,32,Football,4
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,32,Business,5
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,32,Business,6
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,32,Business,7
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,32,Football,8
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,32,Football,9
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,32,Football,10
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,32,Football,11
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,32,Business,12
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,32,Football,13
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,32,Football,14
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,32,Football,15
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,32,Football,16
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,32,Business,17
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,32,Business,18
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,32,Business,19
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,32,Business,20
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,32,Football,21
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,32,Football,22
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,32,Football,23
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,32,Football,24
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,32,Business,25
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,32,Football,26
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,32,Business,27
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,32,Football,28
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,32,Business,29
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,32,Business,30
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,32,Business,31
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,32,Business,32
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,33,Football,1
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,33,Business,2
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,33,Football,3
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,33,Business,4
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,33,Football,5
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,33,Business,6
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,33,Business,7
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,33,Football,8
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,33,Business,9
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,33,Business,10
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,33,Business,11
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,33,Football,12
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,33,Business,13
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,33,Business,14
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,33,Business,15
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,33,Football,16
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,33,Business,17
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,33,Business,18
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,33,Football,19
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,33,Football,20
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,33,Business,21
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,33,Football,22
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,33,Football,23
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,33,Business,24
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,33,Business,25
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,33,Football,26
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,33,Football,27
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,33,Football,28
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,33,Football,29
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,33,Football,30
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,33,Business,31
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,33,Football,32
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,1
Pre-programmed AI,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,34,Business,2
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,3
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,34,Business,4
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,5
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,34,Business,6
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,34,Football,7
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,34,Football,8
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,34,Football,9
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,34,Business,10
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,34,Business,11
Pre-programmed AI,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,12
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,34,Business,13
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,34,Business,14
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,34,Football,15
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,16
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,34,Football,17
Professional football player,A goal is scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,34,Football,18
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,34,Football,19
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,34,Business,20
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,34,Football,21
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,34,Football,22
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,34,Business,23
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,34,Football,24
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,25
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,34,Football,26
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,34,Football,27
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,34,Football,28
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,34,Football,29
Professional football player,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,34,Football,30
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,34,Football,31
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,34,Business,32
Professional football player,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,35,Football,1
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 1 goal,35,Football,2
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,35,Business,3
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,35,Business,4
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,35,Business,5
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 1 vote,35,Business,6
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,35,Business,7
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,35,Business,8
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,35,Football,9
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,35,Business,10
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,35,Business,11
Professional football player,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,35,Football,12
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 1 goal,35,Football,13
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,35,Football,14
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,35,Football,15
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,35,Business,16
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,35,Football,17
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 3 goals,35,Football,18
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,35,Business,19
Professional football player,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 3 goals,35,Football,20
Pre-programmed AI,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,35,Business,21
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,35,Football,22
Senior business executive,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,35,Business,23
Pre-programmed AI,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,35,Business,24
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,35,Football,25
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,35,Business,26
Professional football player,A goal is scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 3 goals,35,Football,27
Professional football player,A goal is not scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,35,Football,28
Pre-programmed AI,A goal is scored for the Agent's team,lose,Agent passes,whether the team wins or loses,The winning team won by 3 goals,35,Football,29
Senior business executive,Company profits increase,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,35,Business,30
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,35,Business,31
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,35,Football,32
Senior business executive,Company profits increase,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,36,Business,1
Senior business executive,Company profits decrease,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,36,Business,2
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,36,Business,3
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,36,Football,4
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 3 goals,36,Football,5
Pre-programmed AI,A goal is scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,36,Football,6
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent passes,the number of goals scored,The winning team won by 1 goal,36,Football,7
Pre-programmed AI,A goal is not scored for the Agent's team,win,Agent shoots to score,the number of goals scored,The winning team won by 1 goal,36,Football,8
Pre-programmed AI,A goal is not scored for the Agent's team,lose,Agent shoots to score,whether the team wins or loses,The winning team won by 1 goal,36,Football,9
Professional football player,A goal is not scored for the Agent's team,lose,Agent passes,the number of goals scored,The winning team won by 1 goal,36,Football,10
Senior business executive,Company profits decrease,improve,Agent votes to keep existing strategy,company profits,Motion passes by 3 votes,36,Business,11
Professional football player,A goal is scored for the Agent's team,win,Agent passes,whether the team wins or loses,The winning team won by 3 goals,36,Football,12
Pre-programmed AI,Company profits increase,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 3 votes,36,Business,13
Senior business executive,Company profits increase,worsen,Agent votes to adopt new strategy,company profits,Motion passes by 1 vote,36,Business,14
Senior business executive,Company profits decrease,improve,Agent votes to adopt new strategy,company profits,Motion passes by 3 votes,36,Business,15
Pre-programmed AI,Company profits decrease,worsen,Agent votes to keep existing strategy,company profits,Motion passes by 1 vote,36,Business,16
Senior business executive,Company profits decrease,worsen,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,36,Business,17
Pre-programmed AI,Company profits decrease,improve,Agent votes to adopt new strategy,environmental footprint,Motion passes by 3 votes,36,Business,18
Pre-programmed AI,Company profits decrease,improve,Agent votes to keep existing strategy,environmental footprint,Motion passes by 1 vote,36,Business,19
